index,Date,Time,Location,Operator,Type,Aboard,Fatalities,Ground,Summary,year,isMilitary,cleaned_summary,main_cause
374,1935-11-02,,"Off Nhambupe, Brazil",Air France,Latécoère 28-1,4.0,4.0,0.0,The postal plane crashed at Atalaya Beach.,1935,False,"['postal', 'plane', 'crashed', 'atalaya', 'beach']",Unkown
376,1935-11-09,04:40,"Near Fort Worth, Texas",Braniff Airlines,Lockheed Vega,1.0,1.0,0.0,Plunged to the ground thirty minutes after leaving Fort Worth. Tried to return to Dallas airport due to inclement weather.,1935,False,"['plunged', 'ground', 'thirty', 'minute', 'leaving', 'fort', 'worth', 'tried', 'return', 'dallas', 'airport', 'due', 'inclement', 'weather']",Weather Conditions
379,1935-12-10,,"Croydon, England",Sabena,Savoia-Marchetti SM73,11.0,11.0,0.0,Crashed to the ground after crossing the English Channel in rain and gale force winds.,1935,False,"['crashed', 'ground', 'crossing', 'english', 'channel', 'rain', 'gale', 'force', 'wind']",Unkown
380,1935-12-24,,"Breslau, Germany",Deutsche Lufthansa,Heinkel He-70,3.0,3.0,0.0,Pilot error.,1935,False,"['pilot', 'error']",Pilot Error
381,1935-12-31,17:20,"Off Alexandria, Egypt",Imperial Airways,Short Calcutta,13.0,12.0,0.0,The aircraft ran out of fuel and crashed off Alexandria. The plane was named 'The City of Khartoum.',1935,False,"['aircraft', 'ran', 'fuel', 'crashed', 'alexandria', 'plane', 'named', 'city', 'khartoum']",Mechanical Failure
382,1936-01-14,19:32,"Goodwin, Arkansas",American Airlines,Douglas DC-2-120,17.0,17.0,0.0,"Flew into trees and disintegrated. The cause of the crash could not be determined.  Possible causes include, passenger interference, one fuel tank running dry, flying too low and the co-pilot alone at the controls.",1936,False,"['flew', 'tree', 'disintegrated', 'cause', 'crash', 'could', 'determined', 'possible', 'cause', 'include', 'passenger', 'interference', 'one', 'fuel', 'tank', 'running', 'dry', 'flying', 'low', 'co', 'pilot', 'alone', 'control']",Mechanical Failure
383,1936-01-17,,"Near Cordillera, Boliva",Lloyd Aereo Boliviano,Junkers JU-52,13.0,13.0,0.0,"Crashed in the Tapacari swamps, 23 miles from Chochabanba.",1936,False,"['crashed', 'tapacari', 'swamp', 'mile', 'chochabanba']",Unkown
384,1936-01-21,,"Off Ajaccio, Corsica, France",Air France,CAMS 53,6.0,6.0,0.0,Vanished off the coast of Corsica after sending a distress call that the engine had failed.,1936,False,"['vanished', 'coast', 'corsica', 'sending', 'distress', 'call', 'engine', 'failed']",Mechanical Failure
385,1936-01-29,,"Denton, Texas",American Airlines,Vultee V-1,6.0,1.0,0.0,Crashed into a clump of trees while attempting a landing in a snowstorm.,1936,False,"['crashed', 'clump', 'tree', 'attempting', 'landing', 'snowstorm']",Unkown
386,1936-02-15,,South AtlantiOcean,Deutsche Lufthansa,Dormier Do-J-Iif Bos Wal,4.0,4.0,0.0,The mail plane disappeared while en route.,1936,False,"['mail', 'plane', 'disappeared', 'en', 'route']",Unkown
387,1936-03-05,,"Near Tengya, China",China National Aviation Corporation,Ford 5-AT-D Tri-Motor,6.0,0.0,0.0,Crash landed in mountains during a snowstorm.,1936,False,"['crash', 'landed', 'mountain', 'snowstorm']",Collision/Geographical
388,1936-03-26,,"Amemeca, Mexico",Compania de Mexico,Ford 5-AT-B Tri Motor,14.0,14.0,0.0,Crashed into mountains and caught fire.  The plane was carrying mainly German tourists.,1936,False,"['crashed', 'mountain', 'caught', 'fire', 'plane', 'carrying', 'mainly', 'german', 'tourist']",Collision/Geographical
389,1936-04-01,19:10,"Pavillon, New York",American Airlines,Stinson Model A,2.0,2.0,0.0,The mail plane explosion in mid-air before crashing to the ground in a snowstorm.,1936,False,"['mail', 'plane', 'explosion', 'mid', 'air', 'crashing', 'ground', 'snowstorm']",Unkown
390,1936-04-07,10:20,"Uniontown, Pennsylvania",Trans Continental and Western Air,Douglas DC-2-112,15.0,13.0,0.0,"Crashed into Chestnut Ridge in fog. The poor  judgment on the part of the pilot for flying by visual ground observation methods after having descended through the clouds and overcast in mountainous terrain at a point unknown to him. Because of clouds and poor visibility, this required flying close to the ground whereas the safest method under such circumstances was to climb into or above the overcast to a safe altitude and determine the location of the plane by instruments and radio.",1936,False,"['crashed', 'chestnut', 'ridge', 'fog', 'poor', 'judgment', 'part', 'pilot', 'flying', 'visual', 'ground', 'observation', 'method', 'descended', 'cloud', 'overcast', 'mountainous', 'terrain', 'point', 'unknown', 'cloud', 'poor', 'visibility', 'required', 'flying', 'close', 'ground', 'whereas', 'safest', 'method', 'circumstance', 'climb', 'overcast', 'safe', 'altitude', 'determine', 'location', 'plane', 'instrument', 'radio']",Weather Conditions
391,1936-04-11,05:20,"Port of Spain, Trinidad",Pan American Airways,Sikorsky S-42A,25.0,3.0,0.0,"Crashed  while taking off after the plane hit a boat . The aircraft was shipped to Miami and repaired. One of the injured passengers was Jose Iturbi, well known conductor and  pianist.",1936,False,"['crashed', 'taking', 'plane', 'hit', 'boat', 'aircraft', 'shipped', 'miami', 'repaired', 'one', 'injured', 'passenger', 'jose', 'iturbi', 'well', 'known', 'conductor', 'pianist']",Unkown
392,1936-04-15,,"Near Turin, Italy",Avio Linee Italiane,OFM F-VIIb/3m,7.0,7.0,0.0,"Crashed on the slopes of Mount Basso, 20 miles from Turin.",1936,False,"['crashed', 'slope', 'mount', 'basso', 'mile', 'turin']",Unkown
397,1936-06-09,,"Malmo, Sweden",A B Aerotransport,Fokker F-XXII,15.0,1.0,0.0,All four motors of the aircraft quit while taking off. The pilot attempted to land but crashed into a house. First fatal aviation accident in Sweden.,1936,False,"['four', 'motor', 'aircraft', 'quit', 'taking', 'pilot', 'attempted', 'land', 'crashed', 'house', 'first', 'fatal', 'aviation', 'accident', 'sweden']",Pilot Error
398,1936-06-13,,"Hannover, Germany",Deutsche Lufthansa,Junkers JU-160,6.0,1.0,0.0,Engine failure.,1936,False,"['engine', 'failure']",Mechanical Failure
399,1936-06-16,,"Mt. Lihesten, Norway",Den Norske Luftfartskole,Junkers JU-52/3m,7.0,7.0,0.0,Crashed into the side of a mountain in fog.,1936,False,"['crashed', 'side', 'mountain', 'fog']",Weather Conditions
400,1936-07-31,,"Off Channel Islands, Jersey",Guernsey Airways,Saro Cloud,7.0,7.0,0.0,Crashed into the sea.,1936,False,"['crashed', 'sea']",Unkown
401,1936-08-02,06:00,"Mazamet, France",Air France,Wibault 280,3.0,3.0,0.0,The mail plane crashed into mountains 50 miles from Toulouse in fog.,1936,False,"['mail', 'plane', 'crashed', 'mountain', 'mile', 'toulouse', 'fog']",Weather Conditions
403,1936-08-05,22:00,"St. Louis, Missouri",Chicago Southern Airlines,Lockheed 10B Electra,8.0,8.0,0.0,"Crashed while attempting to take off from Lambert Field.  The making of a turn at an extremely low altitude, for reasons unknown, in which the wing of the airplane unintentionally contacted the ground.",1936,False,"['crashed', 'attempting', 'take', 'lambert', 'field', 'making', 'turn', 'extremely', 'low', 'altitude', 'reason', 'unknown', 'wing', 'airplane', 'unintentionally', 'contacted', 'ground']",Unkown
408,1936-09-28,,"Walsenberg, Colorado",Varney Air Lines,Lockheed Vega,3.0,3.0,0.0,Crashed in a snowstorm after the pilot cut the motor and the plane crashed into a hill.,1936,False,"['crashed', 'snowstorm', 'pilot', 'cut', 'motor', 'plane', 'crashed', 'hill']",Pilot Error
409,1936-09-29,,"Napierville, Illinois",Blue Bird Air Service,Lockheed Vega 5C,4.0,4.0,0.0,"A half-hour after taking off, the engine failed and the plane crashed into a fence and burst into flames  while making a forced landing.",1936,False,"['half', 'hour', 'taking', 'engine', 'failed', 'plane', 'crashed', 'fence', 'burst', 'flame', 'making', 'forced', 'landing']",Mechanical Failure
412,1936-11-01,,"Near Tabarz, Germany",Deutsche Lufthansa,Junkers JU-52,15.0,11.0,0.0,Caught fire as the airliner struck the side of a hill.,1936,False,"['caught', 'fire', 'airliner', 'struck', 'side', 'hill']",Collision/Geographical
413,1936-11-06,,Near Moscow,Deruluft,Antonov AN-9,9.0,9.0,0.0,Pilot error.,1936,False,"['pilot', 'error']",Pilot Error
414,1936-11-17,,"Nurnberg, Germany",Deutsche Lufthansa,Junkers JU-52/3m,16.0,4.0,0.0,Pilot error.,1936,False,"['pilot', 'error']",Pilot Error
416,1936-12-04,,"Near Grenoble, France",Deutsche Lufthansa,Junkers JU-52/3m,6.0,6.0,0.0,Crashed into the French Alps  in high winds.,1936,False,"['crashed', 'french', 'alp', 'high', 'wind']",Unkown
417,1936-12-07,10:47,"Off Dakar, French West Africa",Air France,Latécoère 300,5.0,5.0,0.0,Aviator Jean Mermoz killed. The last message from the aviator was 'we have switched off the rear engine.' The plane and crew of four were never found.,1936,False,"['aviator', 'jean', 'mermoz', 'killed', 'last', 'message', 'aviator', 'switched', 'rear', 'engine', 'plane', 'crew', 'four', 'never', 'found']",Mechanical Failure
418,1936-12-09,10:30,"Croydon, England",KLM Royal Dutch Airlines,Douglas DC-2-115E,17.0,15.0,0.0,The aircraft crashed into houses while attempting to take off in heavy fog. A stewardess and the radio operator survived. Aircraft designer Juan de la Cieva killed.,1936,False,"['aircraft', 'crashed', 'house', 'attempting', 'take', 'heavy', 'fog', 'stewardess', 'radio', 'operator', 'survived', 'aircraft', 'designer', 'juan', 'de', 'la', 'cieva', 'killed']",Weather Conditions
419,1936-12-15,03:14,"Near Salt Lake City, Utah",Western Air Express,Boeing 247D,7.0,7.0,0.0,Crashed into Lone Peak while attempting to land at Salt Lake. Inability of the pilots to identify the south leg of the Salt Lake radio range due to a local staticondition which rendered both range receivers in the airplane inoperative.,1936,False,"['crashed', 'lone', 'peak', 'attempting', 'land', 'salt', 'lake', 'inability', 'pilot', 'identify', 'south', 'leg', 'salt', 'lake', 'radio', 'range', 'due', 'local', 'staticondition', 'rendered', 'range', 'receiver', 'airplane', 'inoperative']",Pilot Error
420,1936-12-18,03:20,"Kellogg, Idaho",Northwest Orient Airlines,Lockheed 10 Electra,2.0,2.0,0.0,"The mail plane crashed into Early Creek Ridge, 15 miles south of Kellogg, in a blizzard.",1936,False,"['mail', 'plane', 'crashed', 'early', 'creek', 'ridge', 'mile', 'south', 'kellogg', 'blizzard']",Unkown
421,1936-12-19,20:47,"Near Milford, Pennsylvania",Eastern Air Lines,Douglas DC-2-112,14.0,14.0,0.0,"Crashed into trees in poor weather while attempting to land at Newark. Error on the part of the pilot for attempting to get down under the overcast without first definitely proving his position.  Improper dispatching for clearing the flight into an area of predicted bad weather, particularly when the area cleared through did not permit a safe return, and staticonditions encountered which rendered reception of the radio range signals over the airplane's range receivers unintelligible.",1936,False,"['crashed', 'tree', 'poor', 'weather', 'attempting', 'land', 'newark', 'error', 'part', 'pilot', 'attempting', 'get', 'overcast', 'without', 'first', 'definitely', 'proving', 'position', 'improper', 'dispatching', 'clearing', 'flight', 'area', 'predicted', 'bad', 'weather', 'particularly', 'area', 'cleared', 'permit', 'safe', 'return', 'staticonditions', 'encountered', 'rendered', 'reception', 'radio', 'range', 'signal', 'airplane', 'range', 'receiver', 'unintelligible']",Weather Conditions
422,1936-12-23,,"Near Dallas, Texas",Braniff Airways,Lockheed 10 Electra,6.0,6.0,0.0,After an attempted go-around the right engine failed and the plane crashed and burst into flames into a corn field..,1936,False,"['attempted', 'go', 'around', 'right', 'engine', 'failed', 'plane', 'crashed', 'burst', 'flame', 'corn', 'field']",Mechanical Failure
424,1936-12-27,19:38,"Newhall, California",United Air Lines,Boeing 247-D,12.0,12.0,0.0,"While on approach to Burbank Airport, the airliner crashed into Rice Canyon, just south of Newhall.  It was raining with poor visibility. The aircraft flew into a hill loosing its wings, continued without wings across Rice Canyon and struck against a rocky wall of a bluff and dropped over a hundred feet to the bottom of the canyon.  Error on the part of the pilot in attempting to fly through the Newhall pass at an altitude lower than the surrounding mountains without first determining by radio, the existing weather.",1936,False,"['approach', 'burbank', 'airport', 'airliner', 'crashed', 'rice', 'canyon', 'south', 'newhall', 'raining', 'poor', 'visibility', 'aircraft', 'flew', 'hill', 'loosing', 'wing', 'continued', 'without', 'wing', 'across', 'rice', 'canyon', 'struck', 'rocky', 'wall', 'bluff', 'dropped', 'hundred', 'foot', 'bottom', 'canyon', 'error', 'part', 'pilot', 'attempting', 'fly', 'newhall', 'pas', 'altitude', 'lower', 'surrounding', 'mountain', 'without', 'first', 'determining', 'radio', 'existing', 'weather']",Collision/Geographical
425,1937-01-12,11:07,"Near Newhall, California",Western Air Express,Boeing 247B,13.0,5.0,0.0,"The aircraft crashed into Pinetos Peak, 4 miles southeast of Newhall while attempting to land at Burbank Airport in fog and rain. The pilot descended to a dangerously low altitude without positive knowledge of his position. African explorer, Martin Johnson, 52, killed. Johnson suffered a fractured skull in the crash and died the next day in a hospital.",1937,False,"['aircraft', 'crashed', 'pinetos', 'peak', 'mile', 'southeast', 'newhall', 'attempting', 'land', 'burbank', 'airport', 'fog', 'rain', 'pilot', 'descended', 'dangerously', 'low', 'altitude', 'without', 'positive', 'knowledge', 'position', 'african', 'explorer', 'martin', 'johnson', 'killed', 'johnson', 'suffered', 'fractured', 'skull', 'crash', 'died', 'next', 'day', 'hospital']",Weather Conditions
426,1937-01-26,,"Oran, Algeria",Sabena,Sabca S-73,12.0,12.0,0.0,The mail plane crashed while en route.,1937,False,"['mail', 'plane', 'crashed', 'en', 'route']",Unkown
427,1937-02-09,20:50,"Off San Francisco, California",United Air Lines,Douglas DC-3A,11.0,11.0,0.0,"The aircraft crashed into San Francisco Bay, approximately 2 miles offshore, while on approach. The accidental jamming of the elevator controls as the result of the co-pilot's microphone being inadvertently dropped and lodged between the elevator control column and the seat rail in such a way that the crew was unable to prevent rapid descent of the airplane. First accident involving a DC-3.",1937,False,"['aircraft', 'crashed', 'san', 'francisco', 'bay', 'approximately', 'mile', 'offshore', 'approach', 'accidental', 'jamming', 'elevator', 'control', 'result', 'co', 'pilot', 'microphone', 'inadvertently', 'dropped', 'lodged', 'elevator', 'control', 'column', 'seat', 'rail', 'way', 'crew', 'unable', 'prevent', 'rapid', 'descent', 'airplane', 'first', 'accident', 'involving', 'dc']",Pilot Error
429,1937-03-12,,"Bathurst, Gambia",Deutsche Lufthansa,Heinkel He-111V2,4.0,4.0,0.0,The German mail plane crashed into a swamp.,1937,False,"['german', 'mail', 'plane', 'crashed', 'swamp']",Unkown
430,1937-03-24,,"Near Ouroux, France",Imperial Airways,Short  S-23 (flying boat),6.0,5.0,0.0,Crashed into a mountainside in a snowstorm.,1937,False,"['crashed', 'mountainside', 'snowstorm']",Unkown
431,1937-03-25,18:40,"Clifton, Pennsylvania",Trans Continental and Western Air,Douglas DC-2-112,13.0,13.0,0.0,Crashed while attempting to land. Heavy icing which rendered the plane uncontrollable.,1937,False,"['crashed', 'attempting', 'land', 'heavy', 'icing', 'rendered', 'plane', 'uncontrollable']",Weather Conditions
432,1937-03-26,,"Wetnum, Germany",Deutsche Lufthansa,Junkers JU-52/3m,6.0,2.0,0.0,Engine failure.,1937,False,"['engine', 'failure']",Mechanical Failure
433,1937-05-06,19:25,"Lakehurst, New Jersey",Deutsche Zeppelin Reederei,Zeppelin LZ-129,97.0,35.0,1.0,"The airship Hindenburg caught fire and burned while being moored at Lakehurst, New Jersey.  Possible causes were statidischarge which ignited leaking hydrogen or sabotage. It has been theorized that a sudden turn just before landing caused a steel cable to snap which punctured one of the hydrogen airbags. Thereafter, when mooring ropes were dropped to the ground, the cage was discharged setting up a statidischarge between the Hindenburg's outer skin and frame causing the hydrogen to ignite.",1937,False,"['airship', 'hindenburg', 'caught', 'fire', 'burned', 'moored', 'lakehurst', 'new', 'jersey', 'possible', 'cause', 'statidischarge', 'ignited', 'leaking', 'hydrogen', 'sabotage', 'theorized', 'sudden', 'turn', 'landing', 'caused', 'steel', 'cable', 'snap', 'punctured', 'one', 'hydrogen', 'airbags', 'thereafter', 'mooring', 'rope', 'dropped', 'ground', 'cage', 'discharged', 'setting', 'statidischarge', 'hindenburg', 'outer', 'skin', 'frame', 'causing', 'hydrogen', 'ignite']",Unkown
434,1937-05-20,,"Stuttgart, Germany",Deutsche Lufthansa,Heinkel He-70,4.0,4.0,0.0,Crashed on takeoff.,1937,False,"['crashed', 'takeoff']",Unkown
435,1937-07-02,,"Off Lae, New Guinea",Private - Purdue Reasearch Foundation,Lockheed 10E Electra,2.0,2.0,0.0,"The plane disappeared while en route from  Lae to Howland Island. The aircraft had to be flown higher than expected due to storms which used extra fuel.  In addition, strong head winds were encountered.  The aircraft most likely ran out of fuel and ditched into the ocean 50 to 100 miles northwest of Howland Island. Amelia Earhart, 40, and navigator Fred Noonan, killed.",1937,False,"['plane', 'disappeared', 'en', 'route', 'lae', 'howland', 'island', 'aircraft', 'flown', 'higher', 'expected', 'due', 'storm', 'used', 'extra', 'fuel', 'addition', 'strong', 'head', 'wind', 'encountered', 'aircraft', 'likely', 'ran', 'fuel', 'ditched', 'ocean', 'mile', 'northwest', 'howland', 'island', 'amelia', 'earhart', 'navigator', 'fred', 'noonan', 'killed']",Mechanical Failure
436,1937-07-28,,"Hal, Belgium",KLM Royal Dutch Airlines,Douglas DC-2-115L,15.0,15.0,0.0,The aircraft crashed  into a potato field after possibly being struck by lightning and after an in-flight fire.,1937,False,"['aircraft', 'crashed', 'potato', 'field', 'possibly', 'struck', 'lightning', 'flight', 'fire']",Collision/Geographical
437,1937-08-02,,"Wadi Halfa, Sudan",Ala Littoria,Savoia-Marchetti SM73,9.0,9.0,0.0,Crashed into a building on takeoff.,1937,False,"['crashed', 'building', 'takeoff']",Unkown
438,1937-08-03,,"Off Cristobal, Panama",Pan American Grace Airways,Sikorsky S-43,14.0,14.0,0.0,The flying boat plunged into the ocean 20 miles off of Cristobal. The plane probably struck the water at high speed and was destroyed by an immediate explosion and fire.,1937,False,"['flying', 'boat', 'plunged', 'ocean', 'mile', 'cristobal', 'plane', 'probably', 'struck', 'water', 'high', 'speed', 'destroyed', 'immediate', 'explosion', 'fire']",Collision/Geographical
439,1937-08-08,10:50,"Chilang Point, Bias Bay, China",China National Aviation Corporation,Sikorsky S-43,11.0,3.0,0.0,Forced to ditch into the sea due to bad weather. One wing broke off due to high waves and 8 passengers hung on to the remaining wing until rescued.,1937,False,"['forced', 'ditch', 'sea', 'due', 'bad', 'weather', 'one', 'wing', 'broke', 'due', 'high', 'wave', 'passenger', 'hung', 'remaining', 'wing', 'rescued']",Weather Conditions
440,1937-08-10,04:40,"Daytona Beach, Florida",Eastern Air Lines,Douglas DC-2,9.0,4.0,0.0,The plane struck a power pole while taking off from Daytona and crashed to the ground 600 feet from the first point of impact. The absence of reasonable notice to those operating and navigating the aircraft that an object had been erected which constituted a hazard to the aircraft taking off.,1937,False,"['plane', 'struck', 'power', 'pole', 'taking', 'daytona', 'crashed', 'ground', 'foot', 'first', 'point', 'impact', 'absence', 'reasonable', 'notice', 'operating', 'navigating', 'aircraft', 'object', 'erected', 'constituted', 'hazard', 'aircraft', 'taking']",Collision/Geographical
441,1937-08-23,,"San Luis, Argentina",Pan American Grace Airways,Douglas DC-2,3.0,3.0,0.0,Crashed and burned in dense fog while enroute.,1937,False,"['crashed', 'burned', 'dense', 'fog', 'enroute']",Weather Conditions
444,1937-10-01,,"Phaleron Bay, Greece",Imperial Airways,Short Empire Flying Boat,14.0,2.0,0.0,Crashed as it landed in Phaleron Bay. Two passengers drowned. Poor visibility was blamed for the accident.,1937,False,"['crashed', 'landed', 'phaleron', 'bay', 'two', 'passenger', 'drowned', 'poor', 'visibility', 'blamed', 'accident']",Weather Conditions
445,1937-10-06,,"Palembang, Netherlands Indies",KLM Royal Dutch Airlines,Douglas DC-3,5.0,4.0,0.0,"Bronislaw Hubermann, celibrated Polish violinist was sightly injured.",1937,False,"['bronislaw', 'hubermann', 'celibrated', 'polish', 'violinist', 'sightly', 'injured']",Unkown
446,1937-10-17,21:00,"Haydens Peak, Wyoming",United Air Lines,Douglas DC-3,19.0,19.0,0.0,"The plane crashed into the side of a mountain (Humpy Ridge)  in level flight at 10,000 ft. under adverse weather conditions. Staticonditions encountered in the last portion of the flight which rendered the reception of radio range signals unintelligible. The continuation of the flight into mountainous country at an altitude below of higher mountains without the aid of ground visibility or radio signals to definitely identify position. A change in the weather caused by the approach of an unpredicted cold front.",1937,False,"['plane', 'crashed', 'side', 'mountain', 'humpy', 'ridge', 'level', 'flight', 'ft', 'adverse', 'weather', 'condition', 'staticonditions', 'encountered', 'last', 'portion', 'flight', 'rendered', 'reception', 'radio', 'range', 'signal', 'unintelligible', 'continuation', 'flight', 'mountainous', 'country', 'altitude', 'higher', 'mountain', 'without', 'aid', 'ground', 'visibility', 'radio', 'signal', 'definitely', 'identify', 'position', 'change', 'weather', 'caused', 'approach', 'unpredicted', 'cold', 'front']",Weather Conditions
447,1937-11-12,,"Mannheim, Germany",Deutsche Lufthansa,Heinkel He-111,12.0,10.0,0.0,Hit the ground prematurely while attempting to land.,1937,False,"['hit', 'ground', 'prematurely', 'attempting', 'land']",Unkown
450,1937-12-05,09:00,"Brindisi Harbor, Italy",Imperial Airways,Short Empire Flying Boat,19.0,2.0,0.0,The flying boat crashed while attempting to take off. The aircraft was named Cygnus.,1937,False,"['flying', 'boat', 'crashed', 'attempting', 'take', 'aircraft', 'named', 'cygnus']",Unkown
451,1937-12-08,,"Saint Sauveur, France",Air France,Potez 621,7.0,2.0,0.0,Crashed in poor weather conditions.,1937,False,"['crashed', 'poor', 'weather', 'condition']",Weather Conditions
452,1937-12-24,17:30,"Kasperske Hory, Czechoslovakia",Air France,Wibault 283-T12,3.0,3.0,0.0,"The plane was 10 minutes from landing at Vienna when it was told to change course by the Prague airport controller. The change took the plane into mountainous terrain in snowy conditions. The plane impacted Hutska Hora mountain at an alitiude of 3,300 feet. The cause was never determined. Possibly a naviational error or for political reasons.",1937,False,"['plane', 'minute', 'landing', 'vienna', 'told', 'change', 'course', 'prague', 'airport', 'controller', 'change', 'took', 'plane', 'mountainous', 'terrain', 'snowy', 'condition', 'plane', 'impacted', 'hutska', 'hora', 'mountain', 'alitiude', 'foot', 'cause', 'never', 'determined', 'possibly', 'naviational', 'error', 'political', 'reason']",Collision/Geographical
453,1938-01-04,,"Frankfurt, Germany",Deutsche Lufthansa,Junkers JU-52/3m,6.0,6.0,0.0,Icing on the wing caused the plane to crash close to the plane's destination.,1938,False,"['icing', 'wing', 'caused', 'plane', 'crash', 'close', 'plane', 'destination']",Weather Conditions
454,1938-01-10,15:07,"Bozeman, Montana",Northwest Orient Airlines,Lockheed 14H Super Electra,10.0,10.0,0.0,"The aircraft crashed 12 miles northeast of Bozeman after experiencing structural failure of the tail. There was severe turbulence reported in the area at the time of the accident. The structural failure of the upper vertical fins and rudders due to flutter 'natural resonance, or period of vibration' which resulted in the separation of the rudder and fins and loss of control of the aircraft.",1938,False,"['aircraft', 'crashed', 'mile', 'northeast', 'bozeman', 'experiencing', 'structural', 'failure', 'tail', 'severe', 'turbulence', 'reported', 'area', 'time', 'accident', 'structural', 'failure', 'upper', 'vertical', 'fin', 'rudder', 'due', 'flutter', 'natural', 'resonance', 'period', 'vibration', 'resulted', 'separation', 'rudder', 'fin', 'loss', 'control', 'aircraft']",Mechanical Failure
455,1938-01-11,19:40,"Pago Pago, U.S. Samoa",Pan American World Airways,Sikorsky S-42 (flying boat),7.0,7.0,0.0,"The aircraft exploded in mid-air as the crew attempted to dump fuel for an emergency landing at Pago Pago. Neither the plane or six crew members were ever found. The aircraft was named 'Samoan Clipper.'  Pan American's first pilot, Captain Edwin C. Musick, killed.",1938,False,"['aircraft', 'exploded', 'mid', 'air', 'crew', 'attempted', 'dump', 'fuel', 'emergency', 'landing', 'pago', 'pago', 'neither', 'plane', 'six', 'crew', 'member', 'ever', 'found', 'aircraft', 'named', 'samoan', 'clipper', 'pan', 'american', 'first', 'pilot', 'captain', 'edwin', 'c', 'musick', 'killed']",Pilot Error
456,1938-01-12,,"North Pine, Ontario, Canada",General Airways,Stinson Reliant,1.0,1.0,0.0,Crashed in rugged terrain while en route.,1938,False,"['crashed', 'rugged', 'terrain', 'en', 'route']",Collision/Geographical
458,1938-02-05,,"Kandalaksha, Russia",TsAGI,V6 (airship),19.0,13.0,0.0,The airship crashed while on a trial flight in preparation of rescuing  Russian scientists on an ice floe in Greenland. The airship crashed into the side of a mountain.,1938,False,"['airship', 'crashed', 'trial', 'flight', 'preparation', 'rescuing', 'russian', 'scientist', 'ice', 'floe', 'greenland', 'airship', 'crashed', 'side', 'mountain']",Collision/Geographical
459,1938-02-09,,"Marseille, France",Air France,Lioré-et-Olivier H-242,12.0,8.0,0.0,The flying boat struck the breakwater at 60 miles an hour and burst into flames while attempting to take off.,1938,False,"['flying', 'boat', 'struck', 'breakwater', 'mile', 'hour', 'burst', 'flame', 'attempting', 'take']",Collision/Geographical
460,1938-02-09,,"Guadalupe, Mexico",Mexicana,Lockheed 10 Electra,2.0,2.0,0.0,Crashed on a second test flight.,1938,False,"['crashed', 'second', 'test', 'flight']",Unkown
461,1938-02-22,,"Pontoise, France",Deutsche Lufthansa,Junkers JU.52,3.0,3.0,0.0,Crashed in fog within a few miles of it's destination near Bourget Airport.,1938,False,"['crashed', 'fog', 'within', 'mile', 'destination', 'near', 'bourget', 'airport']",Weather Conditions
462,1938-03-01,21:30,"Near Wawona, Cailifornia",Trans Continental and Western Air,Douglas DC-2-112,9.0,9.0,0.0,Crashed into the high Sierra after encountering a severe weather front while en route. The pilot radioed that ice was forming on the DC-2's wings as it neared the Tehachapi Mountains near Bakersfield and that he was turning back towards the north to land at Fresno. The aircraft sheared off the tops of pine trees and crashed 200 feet below a summit. The wreckage was not found until 6/12/38.,1938,False,"['crashed', 'high', 'sierra', 'encountering', 'severe', 'weather', 'front', 'en', 'route', 'pilot', 'radioed', 'ice', 'forming', 'dc', 'wing', 'neared', 'tehachapi', 'mountain', 'near', 'bakersfield', 'turning', 'back', 'towards', 'north', 'land', 'fresno', 'aircraft', 'sheared', 'top', 'pine', 'tree', 'crashed', 'foot', 'summit', 'wreckage', 'found']",Weather Conditions
463,1938-03-07,,"Datia, India",Air France,Potez 621,7.0,7.0,0.0,Crashed and burst into flames shortly after taking off from Dum Dum.,1938,False,"['crashed', 'burst', 'flame', 'shortly', 'taking', 'dum', 'dum']",Unkown
443,1938-03-23,,"Corsavy, France",Air France,Dewoitine D-338,8.0,8.0,0.0,The mail plane crashed into the Pyrenees mountains while en route.,1938,False,"['mail', 'plane', 'crashed', 'pyrenees', 'mountain', 'en', 'route']",Collision/Geographical
465,1938-04-12,,"Near Formia, Italy",Ala Littoria,Junkers JU-52,19.0,19.0,0.0,Crashed into mountains.,1938,False,"['crashed', 'mountain']",Collision/Geographical
466,1938-05-05,,"Balbuena, Mexico",Lineas Aéreas Mineras,Lockheed Vega 5B,6.0,1.0,0.0,Crashed en route,1938,False,"['crashed', 'en', 'route']",Unkown
468,1938-05-16,02:07,"Near Saugus, California",Northwest Orient Airlines,Lockheed 14-H2 Super Electra,9.0,9.0,0.0,"Struck Stroh peak at 3,300 feet in Mint Canyon, 27 minutes after taking off from Burbank Airport. The aircraft struck a ridge, bounded over a ravine and struck a second ridge, broke up and burst into flames.",1938,False,"['struck', 'stroh', 'peak', 'foot', 'mint', 'canyon', 'minute', 'taking', 'burbank', 'airport', 'aircraft', 'struck', 'ridge', 'bounded', 'ravine', 'struck', 'second', 'ridge', 'broke', 'burst', 'flame']",Collision/Geographical
469,1938-05-22,13:40,"Sao Paulo, Brazil",Cruzeiro do Sul,Junkers JU-52/3m,17.0,2.0,0.0,The mail plane crashed while taking off.,1938,False,"['mail', 'plane', 'crashed', 'taking']",Unkown
